지명,평점,상세설명,mapx,mapy,이미지링크,주소,카테고리
경복궁,4.6,투어 & 박물관이 있는 역사적인 궁전,126.97704813483733,37.57889713867698,https://lh3.googleusercontent.com/proxy/HGtEVNovMrYOq0Wl4OtWp1Esv5r9Xs0qslP0rzFzRZORPk38bApt7mbXYppk1e4XTqizNXJ_m2lS5g6AjWCuCI0xw_CU0KgbvH-x0PSoYf1DcCv4Sf1NEUuqinkfr058IMLYg1uyTxsea5GAjuAIwoSP-VY=w464-h260-n-k-no,서울특별시 종로구 세종로 1-91,"여행,명소>궁궐"
덕수궁,4.5,왕궁수문장 의식을 볼 수 있는 궁전,126.97494693577792,37.56615624076806,https://lh3.googleusercontent.com/proxy/cwvqdo0xArlRirS2B_hX7ypM2YGb5Q-fuxkJyOb_Ea_BV8vT0TKZ5k40JpbMzUtqF_QWqrWuXPbCbBQiv_sdy2TrZzakuWmaSlhXsh4EPF3En1OtFpB_paOhDh1d6f47dY5SyWaRmty10WJR6dKURD7EU40=w464-h260-n-k-no,서울특별시 중구 정동 5-1,"여행,명소>궁궐"
창경궁,4.6,"궁전, 단풍 및 정원",126.9941686426061,37.579557657759885,https://lh6.googleusercontent.com/proxy/1S1TwFk2bg2k_AVI6SeHRBF7aX4F9fH0FNcYxdzyz_2sCMcxGk-3fpv5lcbIZOgg1gje0pQXpnL4xnWvBe9MECQEFwql1y2J-kO4qul2NMzgRgaI2_YxwWQUG_vNsCXqJMln88dFWNRsXJZE_fSc5eGB6wM=w464-h260-n-k-no,서울특별시 종로구 와룡동 2-1,"여행,명소>궁궐"
경희궁,4.3,"궁전, 미술관, 박물관 및 역사",126.96856626089544,37.5708312047648,https://lh5.googleusercontent.com/proxy/MQs6Tl6eqLAzVFmoOmOiyssT5EUJwVz1eqoZTVFCS3OnqPsBHKyeQBhceX-lKS30NrISkkarRb3mt7JCZ3csEgyHnbbGHTkgtS8DDbEjHEFjN0-rT_B0FskKhteli00mYgpGd2tfmqsDycu0rtfizZHMQD8=w464-h260-n-k-no,서울특별시 종로구 신문로2가 2-1,"여행,명소>궁궐"
광화문,4.5,경복궁의 웅장한 궐문,126.97687146402922,37.576084364468535,https://lh6.googleusercontent.com/proxy/22TVcpWJLoWXXHjnJsj1Rp6pRlmYqS83nAv_fu66IJE4Olod9gQbKQtFGiJ3-WYV9W6C4VgWtDW_m4boqBlT5HMhJxlmq6dg7uMTq434WXeWijOHZg13O2evWRh2rUhSit1Lm9Mf41Y9PHp3e0CSqtwiHrM=w464-h260-n-k-no,서울특별시 종로구 세종로 1-57,"여행,명소>기념물"
명동대성당,4.6,"대성당, 교회당, 건축 및 고딕 건축",126.98725339848535,37.5634870990808,https://t1.gstatic.com/images?q=tbn:ANd9GcSbBpErtsVqmBSTpFmArqtbQHCqbG4bB7IXRtiyTM17UxwkO8ruYsIB4sGS-b9YHWFHgpn5RrIZDF0hWA,서울특별시 중구 명동2가 1-1,종교>천주교
창덕궁 후원,4.8,"궁전, 정원 및 단풍",126.9911763267597,37.579811479771045,https://t2.gstatic.com/images?q=tbn:ANd9GcQOOr-IPHIK3tgSam208bQT8XG6zSx4e87Y6ravHf-ihtoMadIR8ZsOcMHMf5RiVnrlO0rwtzZlC2_E_Q,서울특별시 종로구 와룡동 2-1,"여행,명소>지역명소"
운현궁,4.3,궁전,126.98708172966701,37.57618130978059,https://t0.gstatic.com/images?q=tbn:ANd9GcRKPpWlB9ptZki0hhVQD0W_gR94nW7nRcElryM1c_IO20XaD7EDR9hV8Hv_KqmXAXkyYFE5mzbvNq_kbA,서울특별시 종로구 운니동 114-10,"여행,명소>궁궐"
청와대,3.5,"궁전, 박물관 및 건축",126.97324878833587,37.582684603349136,https://t1.gstatic.com/images?q=tbn:ANd9GcTbuz62jKmaplhV7ukh1EGxSO-qEh4KeIGr1OyXsIoA02RJxj_sKL0px35jEH7Gbbn9G0KqbS2tOt9QVA,서울특별시 종로구 효자동 150,"여행,명소>박물관"
근정전,4.7,궁전 및 건축,126.97701909844882,37.5785364714118,https://lh3.googleusercontent.com/proxy/72ZtM6Pf3cxLRBesh6NIhsCWxbQ1lrZMj17cskbjy1rllk9qWm9d0fSH-4c1wwWEQXjRqK7kkbfpvWFP7ReC7IMIpKKvX98ckT00Ja7kuJ77AR4jIiyfk1VbqJxdTo6iGtMy__WVkugi4ibYtlAQWoGVxmQ=w464-h260-n-k-no,서울특별시 종로구 세종로,"문화,유적>부속시설"
