지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Olympic Park,4.6,Olympic park from 1988 Seoul games,37.5206868,127.1214941,https://lh4.googleusercontent.com/proxy/bPmJRXDTNG-GWmbL6zOpJigzgFY141L4YDRyVMpKpxZUneCAEQCTt6xDC2gFIej0XIU6tetiZOuy9xrAnyacOssop3DBf3olPj3bnby3l3kjA_Fc53tcn1cs2tIlE9HwwruKUe2MnLH5DDAheRckgGgR4uo=w464-h260-n-k-no,"424 Olympic-ro, Oryun-dong, Songpa-gu, Seoul, South Korea",Outdoors Art&Culture Kind-friendly
Hangang Park,4.1,Park,37.5097812,126.994744,https://t3.gstatic.com/images?q=tbn:ANd9GcQE59d4vH5ZpsmXvgH8jGNi4lxhoZQtDnxPtM0GhIHe6T0VEHlvMyHfEaaEvRuUewqAqqQLTFuqbtQnmA,"40 Sinbanpo-ro 11-gil, Banpo 2(i)-dong, Seocho-gu, Seoul, South Korea",Outdoors Art&Culture Kind-friendly Nightview
Yeouido Park,4.3,"Park, ice skating, and garden",37.523816,126.918916,https://t2.gstatic.com/images?q=tbn:ANd9GcTF7lAorTF5UZjEoN8oB7Kexa2z9QRzDcD4Wb3ETjhvmQvKUnqc0uoMS9JmEQp9AsLhP5ehzXYT-mJkUQ,"68 Yeouigongwon-ro, Yeoui-dong, Yeongdeungpo-gu, Seoul, South Korea",Outdoors
Ilsan Lake Park,4.5,"Waterside park with trails, art & events",37.6567441,126.7662508,https://t2.gstatic.com/images?q=tbn:ANd9GcSccGgWoZf3bzr4Pz4KNw01TLt-zjiIMqnK4KksCWSamlU1rZU87kDv97UyycD-8rf_Nqvr3Fmmv31Q0g,"595 Hosu-ro, Janghang-dong, Ilsandong-gu, Goyang-si, Gyeonggi-do, South Korea",Outdoors Art&Culture Kind-friendly
Bukhansan National Park,4.6,Mountain park with trails & temples,37.6197679,126.9955839,https://t1.gstatic.com/images?q=tbn:ANd9GcSKt4FaTYm9vqPE1fhyb0Y4blaeyns1cJgq8jAkLVsUB1VLKt4vQrxS6FBNkZ7KyQTRsMY_9ygOJCj6Xw,"262 Bogukmun-ro, Jeongneung-dong, Seongbuk-gu, Seoul, South Korea",Outdoors Kind-friendly Nightview
World Cup Park,4.4,Massive park with a golf course & river,37.5639074,126.8973166,https://t1.gstatic.com/images?q=tbn:ANd9GcRwUh3-pDPtAe25xVnL7Asx4E9W1uHiJM4AytVPyYR2LZi6FOuckUsfCAkP6wVbr6YFL3U3lF9okVElgQ,"243-60 Woldeukeom-ro, Seongsan 2(i)-dong, Mapo-gu, Seoul, South Korea",Outdoors History
Haneul Park,4.4,Park with tall grass & scenic views,37.5674467,126.885455,https://t3.gstatic.com/images?q=tbn:ANd9GcTzidYEJ8x_eNTdL3B8s1QlDvYzSj3wZdy7p_yOL-Fa5_H5wFVx96swARSozykzAZGoAbX4wavdkq15vg,"487-48 Sangam-dong, Mapo-gu, Seoul, South Korea",Outdoors Art&Culture Kind-friendly Nightview
"Children's Grand Park, Seoul",4.4,"Amusement park, playground & zoo",37.5482248,127.0808374,https://lh3.googleusercontent.com/proxy/aimNj15a29jOyryYrjd8lXYV9a-4JXHek7GSVJcBTYgmieZUiKvSC8zN1f6QBqEUN7H4pM-bvFBnoIwGjnYAVuF1pfoMSsFimko0UZXWjoZqpyTN34vFH2giq4dfcmsAWV-Pt62oRWSyx88ojADXRasy0xA=w464-h260-n-k-no,"216 Neungdong-ro, Neung-dong, Gwangjin-gu, Seoul, South Korea",Outdoors Kind-friendly
Namsan,4.5,"Mountain, autumn leaf color, and park",37.55375859999999,126.9809696,https://t0.gstatic.com/images?q=tbn:ANd9GcRF3GjVhrU4N9jAUKtOJ802eFORBDmlzEXqO1fyCgilS4YMSoUte5zWgcnk1z3G03bvSnZJQAtcREB3Gw,"Namsan, Hoehyeondong 1(il)-ga, Seoul",Outdoors Art&Culture Kind-friendly Nightview SeoulFutureHeritage
Seoul Grand Park,4.3,Entertainment area with zoos & exhibits,37.4275247,127.0170252,https://lh6.googleusercontent.com/-JJtH8kOdzwc/WCrLPI-Tc5I/AAAAAAAAyF0/Dr2Ds6vzOukmffk6M2sevRZEnEmnuwP6wCLIBGAYYCw/w464-h260-n-k-no/,"102 Daegongwongwangjang-ro, Makgye-dong, Gwacheon-si, Gyeonggi-do, South Korea",Outdoors Art&Culture Kind-friendly
